39_cause_recode,month_of_death,count,total,percentage
42,03,5281,59467,8.880555602266803
42,04,4833,59467,8.127196596431634
42,05,5104,59467,8.582911530764962
42,06,4948,59467,8.320581162661645
42,07,5258,59467,8.841878689020803
42,08,5096,59467,8.569458691375049
42,09,4794,59467,8.061614004405806
42,10,4797,59467,8.066658819177022
42,11,4753,59467,7.992668202532497
42,12,4829,59467,8.120470176736678
